OpenTime,Open,High,Low,Close,Volume,CloseTime,QouteAssetVolume,NumberOfTrades,TakerBuyBaseAssetVolume,TakerBuyQuoteAssetVolume,?
1598346000000,4.70920000,4.75370000,4.63560000,4.68870000,715213.19000000,1598349599999,3353155.72058200,5753,418704.77000000,1963730.52278500,0
1598349600000,4.68680000,4.92900000,4.68340000,4.88160000,1000022.28000000,1598353199999,4810026.66200600,7934,604287.36000000,2905895.52523000,0
1598353200000,4.88240000,4.98000000,4.78380000,4.92480000,1055523.44000000,1598356799999,5146355.98725900,9369,571735.65000000,2790380.19281700,0
1598356800000,4.93010000,4.95000000,4.65000000,4.78500000,1929225.77000000,1598360399999,9189969.11033100,13933,909193.46000000,4331956.99021100,0
1598360400000,4.78500000,4.91090000,4.74260000,4.82920000,1183383.89000000,1598363999999,5705586.47476000,10566,570382.85000000,2753783.85971200,0
1598364000000,4.82760000,4.83100000,4.61880000,4.73430000,1523306.02000000,1598367599999,7194522.43277000,12968,727504.59000000,3438508.96004800,0
1598367600000,4.73430000,4.81000000,4.65500000,4.78830000,1087306.86000000,1598371199999,5141282.05715800,10231,574954.43000000,2720064.63940400,0
1598371200000,4.78950000,5.35000000,4.77000000,5.16740000,4833685.69000000,1598374799999,24785166.60194900,37394,2681245.85000000,13731504.85813800,0
1598374800000,5.19210000,5.42340000,5.10000000,5.35600000,2681028.33000000,1598378399999,14155709.26746700,21317,1404941.09000000,7421690.83279800,0
1598378400000,5.36500000,5.42000000,5.17500000,5.31740000,1943921.07000000,1598381999999,10280748.87354300,16879,960567.29000000,5081562.65114600,0
1598382000000,5.31720000,5.49300000,5.30950000,5.39900000,1333265.81000000,1598385599999,7223592.60868500,14508,656000.18000000,3552255.79402500,0
1598385600000,5.39900000,5.69830000,5.31470000,5.66110000,1847416.50000000,1598389199999,10235670.60970100,17656,1125580.61000000,6237557.46817500,0
1598389200000,5.66110000,5.77000000,5.35750000,5.41180000,2470103.88000000,1598392799999,13857571.71006700,22565,1361445.86000000,7647221.24899700,0
1598392800000,5.41180000,5.47940000,5.26000000,5.34270000,1881849.18000000,1598396399999,10110210.05044400,19213,1091717.25000000,5870053.44857500,0
1598396400000,5.35140000,5.54150000,5.33570000,5.54120000,1285985.64000000,1598399999999,6971723.32465800,11376,875834.34000000,4751333.34401300,0
1598400000000,5.54120000,5.60000000,5.38530000,5.50050000,1296857.04000000,1598403599999,7111262.90729200,10989,851738.19000000,4669432.22902600,0
1598403600000,5.50140000,5.68400000,5.44400000,5.67620000,1401349.00000000,1598407199999,7830143.76647800,10899,912778.17000000,5100881.59681400,0
1598407200000,5.67620000,5.68500000,5.31250000,5.36640000,1480427.03000000,1598410799999,8151897.74983500,11633,806037.74000000,4445725.98566700,0
1598410800000,5.36640000,5.53320000,5.36220000,5.42860000,898156.44000000,1598414399999,4894037.41732300,7004,551387.62000000,3004904.54588700,0
1598414400000,5.42940000,5.52000000,5.39820000,5.40260000,913499.55000000,1598417999999,4991804.10542000,7481,544698.53000000,2975981.31127700,0
1598418000000,5.40320000,5.48610000,5.30000000,5.31520000,1047096.62000000,1598421599999,5649372.55548100,8241,589888.11000000,3182747.82976300,0
1598421600000,5.31520000,5.37990000,5.18660000,5.25030000,1380968.89000000,1598425199999,7293130.81770000,12442,733156.85000000,3874461.00185100,0
1598425200000,5.24000000,5.43000000,5.10150000,5.37610000,1729305.90000000,1598428799999,9104396.04834600,12825,960387.64000000,5068094.55534000,0
1598428800000,5.37510000,5.57740000,5.28200000,5.47590000,1443467.32000000,1598432399999,7824860.87460600,12058,943925.49000000,5113824.31758300,0
1598432400000,5.47590000,5.74320000,5.45690000,5.56070000,1535176.01000000,1598435999999,8562052.84195500,12537,982644.87000000,5484617.41827000,0
1598436000000,5.55430000,5.62560000,5.46930000,5.53100000,962088.59000000,1598439599999,5328062.41562500,7671,502457.51000000,2783449.40440300,0
1598439600000,5.53210000,5.60200000,5.34230000,5.42100000,912649.75000000,1598443199999,5015831.96774400,8295,529416.13000000,2912161.50393700,0
1598443200000,5.42550000,5.54900000,5.33590000,5.40520000,1036603.16000000,1598446799999,5617283.70659600,10063,566399.42000000,3069481.04844400,0
1598446800000,5.40520000,5.64000000,5.39660000,5.57470000,1243675.15000000,1598450399999,6888710.38124800,10170,706743.00000000,3916402.63866100,0
1598450400000,5.57470000,6.03990000,5.55550000,5.96250000,3204129.19000000,1598453999999,18739239.19483100,23644,1952001.51000000,11418787.83849600,0
1598454000000,5.96340000,6.35000000,5.90000000,6.32850000,2976607.87000000,1598457599999,18207807.19733300,26594,1710733.98000000,10462328.25214700,0
1598457600000,6.32850000,6.57000000,6.14410000,6.40150000,3967384.84000000,1598461199999,25325863.57562800,36134,2143914.66000000,13705720.17794100,0
1598461200000,6.40160000,6.47260000,6.22220000,6.33000000,1880389.49000000,1598464799999,11939985.55530900,17478,1038067.98000000,6595072.33013100,0
1598464800000,6.32850000,6.40000000,6.18200000,6.30610000,1267640.23000000,1598468399999,7990592.63045400,11346,694045.08000000,4377334.08932400,0
