,filters,batch_size,kernel_size,dilation_rate,num_res_blocks,lookback_window,forecast_window,test_partition
326,128.0,24.0,128.0,16.0,1.0,168.0,24.0,1.0
327,128.0,24.0,128.0,16.0,1.0,168.0,24.0,2.0
328,128.0,24.0,128.0,16.0,1.0,168.0,24.0,3.0
329,128.0,24.0,128.0,16.0,1.0,168.0,24.0,4.0
330,128.0,24.0,128.0,16.0,1.0,336.0,6.0,0.0
331,128.0,24.0,128.0,16.0,1.0,336.0,6.0,1.0
332,128.0,24.0,128.0,16.0,1.0,336.0,6.0,2.0
333,128.0,24.0,128.0,16.0,1.0,336.0,6.0,3.0
334,128.0,24.0,128.0,16.0,1.0,336.0,6.0,4.0
335,128.0,24.0,128.0,16.0,1.0,336.0,12.0,0.0
336,128.0,24.0,128.0,16.0,1.0,336.0,12.0,1.0
337,128.0,24.0,128.0,16.0,1.0,336.0,12.0,2.0
338,128.0,24.0,128.0,16.0,1.0,336.0,12.0,3.0
339,128.0,24.0,128.0,16.0,1.0,336.0,12.0,4.0
340,128.0,24.0,128.0,16.0,1.0,336.0,24.0,0.0
341,128.0,24.0,128.0,16.0,1.0,336.0,24.0,1.0
342,128.0,24.0,128.0,16.0,1.0,336.0,24.0,2.0
343,128.0,24.0,128.0,16.0,1.0,336.0,24.0,3.0
344,128.0,24.0,128.0,16.0,1.0,336.0,24.0,4.0
345,128.0,24.0,128.0,16.0,1.0,672.0,6.0,0.0
346,128.0,24.0,128.0,16.0,1.0,672.0,6.0,1.0
347,128.0,24.0,128.0,16.0,1.0,672.0,6.0,2.0
348,128.0,24.0,128.0,16.0,1.0,672.0,6.0,3.0
349,128.0,24.0,128.0,16.0,1.0,672.0,6.0,4.0
350,128.0,24.0,128.0,16.0,1.0,672.0,12.0,0.0
351,128.0,24.0,128.0,16.0,1.0,672.0,12.0,1.0
352,128.0,24.0,128.0,16.0,1.0,672.0,12.0,2.0
353,128.0,24.0,128.0,16.0,1.0,672.0,12.0,3.0
354,128.0,24.0,128.0,16.0,1.0,672.0,12.0,4.0
355,128.0,24.0,128.0,16.0,1.0,672.0,24.0,0.0
356,128.0,24.0,128.0,16.0,1.0,672.0,24.0,1.0
357,128.0,24.0,128.0,16.0,1.0,672.0,24.0,2.0
358,128.0,24.0,128.0,16.0,1.0,672.0,24.0,3.0
359,128.0,24.0,128.0,16.0,1.0,672.0,24.0,4.0
360,128.0,24.0,128.0,16.0,2.0,168.0,6.0,0.0
361,128.0,24.0,128.0,16.0,2.0,168.0,6.0,1.0
362,128.0,24.0,128.0,16.0,2.0,168.0,6.0,2.0
363,128.0,24.0,128.0,16.0,2.0,168.0,6.0,3.0
364,128.0,24.0,128.0,16.0,2.0,168.0,6.0,4.0
365,128.0,24.0,128.0,16.0,2.0,168.0,12.0,0.0
366,128.0,24.0,128.0,16.0,2.0,168.0,12.0,1.0
367,128.0,24.0,128.0,16.0,2.0,168.0,12.0,2.0
368,128.0,24.0,128.0,16.0,2.0,168.0,12.0,3.0
369,128.0,24.0,128.0,16.0,2.0,168.0,12.0,4.0
370,128.0,24.0,128.0,16.0,2.0,168.0,24.0,0.0
371,128.0,24.0,128.0,16.0,2.0,168.0,24.0,1.0
372,128.0,24.0,128.0,16.0,2.0,168.0,24.0,2.0
373,128.0,24.0,128.0,16.0,2.0,168.0,24.0,3.0
374,128.0,24.0,128.0,16.0,2.0,168.0,24.0,4.0
375,128.0,24.0,128.0,16.0,2.0,336.0,6.0,0.0
376,128.0,24.0,128.0,16.0,2.0,336.0,6.0,1.0
377,128.0,24.0,128.0,16.0,2.0,336.0,6.0,2.0
378,128.0,24.0,128.0,16.0,2.0,336.0,6.0,3.0
379,128.0,24.0,128.0,16.0,2.0,336.0,6.0,4.0
380,128.0,24.0,128.0,16.0,2.0,336.0,12.0,0.0
381,128.0,24.0,128.0,16.0,2.0,336.0,12.0,1.0
382,128.0,24.0,128.0,16.0,2.0,336.0,12.0,2.0
383,128.0,24.0,128.0,16.0,2.0,336.0,12.0,3.0
384,128.0,24.0,128.0,16.0,2.0,336.0,12.0,4.0
385,128.0,24.0,128.0,16.0,2.0,336.0,24.0,0.0
386,128.0,24.0,128.0,16.0,2.0,336.0,24.0,1.0
387,128.0,24.0,128.0,16.0,2.0,336.0,24.0,2.0
388,128.0,24.0,128.0,16.0,2.0,336.0,24.0,3.0
389,128.0,24.0,128.0,16.0,2.0,336.0,24.0,4.0
390,128.0,24.0,128.0,16.0,2.0,672.0,6.0,0.0
391,128.0,24.0,128.0,16.0,2.0,672.0,6.0,1.0
392,128.0,24.0,128.0,16.0,2.0,672.0,6.0,2.0
393,128.0,24.0,128.0,16.0,2.0,672.0,6.0,3.0
394,128.0,24.0,128.0,16.0,2.0,672.0,6.0,4.0
395,128.0,24.0,128.0,16.0,2.0,672.0,12.0,0.0
396,128.0,24.0,128.0,16.0,2.0,672.0,12.0,1.0
397,128.0,24.0,128.0,16.0,2.0,672.0,12.0,2.0
398,128.0,24.0,128.0,16.0,2.0,672.0,12.0,3.0
399,128.0,24.0,128.0,16.0,2.0,672.0,12.0,4.0
400,128.0,24.0,128.0,16.0,2.0,672.0,24.0,0.0
401,128.0,24.0,128.0,16.0,2.0,672.0,24.0,1.0
402,128.0,24.0,128.0,16.0,2.0,672.0,24.0,2.0
403,128.0,24.0,128.0,16.0,2.0,672.0,24.0,3.0
404,128.0,24.0,128.0,16.0,2.0,672.0,24.0,4.0
405,128.0,24.0,64.0,3.0,0.0,168.0,6.0,0.0
